"promotion_id","promotion_district_id","promotion_name","media_type","cost","start_date","end_date"
"1","110","High Roller Savings","Product Attachment","14435","1996-01-03","1996-01-06"
"2","110","Green Light Special","Product Attachment","8907","1996-01-18","1996-01-20"
"3","110","Wallet Savers","Radio","12512","1996-02-02","1996-02-05"
"4","110","Weekend Markdown","In-Store Coupon","11256","1996-02-13","1996-02-15"
"5","110","Bag Stuffers","Sunday Paper, Radio","12275","1996-02-28","1996-03-01"
"6","110","Save-It Sale","Daily Paper","9472","1996-03-14","1996-03-16"
"7","110","Fantastic Discounts","Sunday Paper, Radio, TV","14278","1996-03-29","1996-04-02"
"8","110","Price Winners","Sunday Paper, Radio","14731","1996-04-10","1996-04-13"
"9","110","Dimes Off","Daily Paper","14065","1996-04-26","1996-04-29"
"10","110","Green Light Special","Sunday Paper, Radio","9298","1996-05-08","1996-05-09"
"11","110","Dollar Cutters","Daily Paper, Radio, TV","5306","1996-05-24","1996-05-25"
"12","110","Three for One","TV","14812","1996-06-06","1996-06-09"
"13","110","Price Winners","Cash Register Handout","11674","1996-06-19","1996-06-22"
"14","110","Big Promo","Street Handout","14945","1996-07-03","1996-07-07"
"15","110","Save-It Sale","Sunday Paper, Radio","6842","1996-07-18","1996-07-22"
"16","110","Sale Winners","Sunday Paper, Radio","14615","1996-08-02","1996-08-03"
"17","110","Savings Galore","Cash Register Handout","13694","1996-08-16","1996-08-17"
"18","110","Super Savers","Daily Paper, Radio","12346","1996-08-27","1996-08-30"
"19","110","Tip Top Savings","Daily Paper, Radio","8099","1996-09-10","1996-09-13"
"20","110","Sale Winners","Street Handout","11024","1996-09-26","1996-09-28"
"21","110","Price Winners","Cash Register Handout","14976","1996-10-10","1996-10-12"
"22","110","Super Duper Savers","Radio","11665","1996-10-24","1996-10-28"
"23","110","Super Duper Savers","Daily Paper, Radio","13307","1996-11-07","1996-11-10"
"24","110","Best Savings","Sunday Paper","10597","1996-11-21","1996-11-22"
"25","110","Price Winners","Street Handout","9422","1996-12-04","1996-12-07"
"26","110","Price Winners","Product Attachment","12767","1996-12-18","1996-12-21"
"27","110","Price Cutters","Radio","5611","1997-01-02","1997-01-05"
"28","110","Shelf Clearing Days","Bulk Mail","14609","1997-01-15","1997-01-18"
"29","110","Green Light Special","Cash Register Handout","8307","1997-01-30","1997-02-02"
"30","110","Unbeatable Price Savers","In-Store Coupon","8414","1997-02-13","1997-02-16"
"31","110","You Save Days","Daily Paper, Radio","9802","1997-02-28","1997-03-02"
"32","110","I Cant Believe It Sale","Product Attachment","7854","1997-03-14","1997-03-15"
"33","110","Shelf Emptiers","Daily Paper","6425","1997-03-28","1997-03-31"
"34","110","Wallet Savers","Cash Register Handout","11913","1997-04-10","1997-04-14"
"35","110","Mystery Sale","Daily Paper","14502","1997-04-23","1997-04-26"
"36","110","Go For It","Daily Paper, Radio, TV","14263","1997-05-09","1997-05-11"
"37","110","Go For It","Street Handout","14264","1997-05-20","1997-05-23"
"38","110","Dimes Off","Radio","7789","1997-06-05","1997-06-07"
"39","110","Dollar Days","Sunday Paper","8924","1997-06-19","1997-06-21"
"40","110","Super Savers","Bulk Mail","10393","1997-07-03","1997-07-06"
"41","110","Money Grabbers","Sunday Paper, Radio, TV","8710","1997-07-17","1997-07-19"
"42","110","Two Day Sale","Bulk Mail","7616","1997-07-31","1997-08-04"
"43","110","Green Light Special","Daily Paper","7296","1997-08-14","1997-08-17"
"44","110","Double Down Sale","Daily Paper, Radio","13130","1997-08-27","1997-08-29"
"45","110","Price Slashers","Daily Paper, Radio, TV","13664","1997-09-09","1997-09-10"
"46","110","Weekend Markdown","Daily Paper","10607","1997-09-25","1997-09-28"
"47","110","Sales Galore","Street Handout","12734","1997-10-07","1997-10-08"
"48","110","Dollar Days","Daily Paper","10277","1997-10-23","1997-10-26"
"49","110","Bag Stuffers","Bulk Mail","5684","1997-11-05","1997-11-06"
"50","110","Two Day Sale","In-Store Coupon","8008","1997-11-21","1997-11-23"
"51","110","Price Smashers","Sunday Paper","7433","1997-12-03","1997-12-06"
"52","110","Big Promo","Radio","6686","1997-12-18","1997-12-22"
"53","110","Price Slashers","TV","6966","1997-12-30","1998-01-01"
"54","110","Two Day Sale","Radio","7327","1998-01-14","1998-01-17"
"55","110","Price Slashers","Street Handout","5297","1998-01-28","1998-01-30"
"56","110","Price Cutters","Street Handout","6258","1998-02-10","1998-02-13"
"57","110","Sale Winners","Daily Paper, Radio, TV","8756","1998-02-26","1998-03-02"
"58","110","Price Winners","Sunday Paper","11219","1998-03-12","1998-03-15"
"59","110","Price Winners","Cash Register Handout","10390","1998-03-26","1998-03-30"
"60","110","Price Destroyers","Product Attachment","13060","1998-04-09","1998-04-12"
"61","110","Price Destroyers","TV","10430","1998-04-21","1998-04-22"
"62","110","Sales Days","Product Attachment","14209","1998-05-07","1998-05-10"
"63","110","Dollar Cutters","Bulk Mail","11926","1998-05-21","1998-05-23"
"64","110","Bye Bye Baby","TV","6305","1998-06-03","1998-06-07"
"65","110","Green Light Special","Sunday Paper, Radio, TV","8548","1998-06-18","1998-06-22"
"66","110","Price Winners","Street Handout","10364","1998-07-03","1998-07-06"
"67","110","Price Winners","Sunday Paper, Radio, TV","6626","1998-07-15","1998-07-17"
"68","110","Savings Galore","Sunday Paper","12714","1998-07-29","1998-07-31"
"69","110","Price Destroyers","TV","11076","1998-08-12","1998-08-14"
"70","110","Two Day Sale","Daily Paper, Radio, TV","10929","1998-08-27","1998-08-30"
"71","110","Coupon Spectacular","Daily Paper","5736","1998-09-08","1998-09-09"
"72","110","Wallet Savers","Sunday Paper","13533","1998-09-23","1998-09-27"
"73","110","Shelf Clearing Days","TV","5522","1998-10-06","1998-10-10"
"74","110","Savings Galore","TV","10756","1998-10-21","1998-10-23"
"75","110","Save-It Sale","In-Store Coupon","6763","1998-11-06","1998-11-08"
"76","110","Price Slashers","Daily Paper, Radio","6270","1998-11-20","1998-11-23"
"77","110","Double Down Sale","Radio","13132","1998-12-01","1998-12-04"
